near-normal,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,d_19090401,0,0,0,0,0,0,100,100,15.6,0,0
0,d_19090501,0,0,0,0,0,0,100,99.7,8.6,0,0
0,d_19090601,0,0,0,0,0,0,100,95.9,3.2,0,0
0,d_19090701,0,0,0,0,0,0,100,98.9,10.3,0,0
0,d_19090801,0,0,0,0,0,0,100,99.7,6.2,0,0
0,d_19090901,0,0,0,0,0,0,100,100,21.9,0,0
0,d_19091001,0,0,0,0,0,0,100,15,0,0,0
100,d_19091101,0,0,0,0,0,0,0,0,0,0,0
0,d_19091201,0,0,0,0,0,0,100,100,2.9,0,0
0,d_19100101,0,0,0,0,0,0,100,81.4,0,0,0
99.7,d_19100201,0,0,0,0,0,0,0.3,0,0,0,0
100,d_19100301,0,0,0,0,0,0,0,0,0,0,0
100,d_19100401,0,0,0,0,0,0,0,0,0,0,0
100,d_19100501,0,0,0,0,0,0,0,0,0,0,0
100,d_19100601,0,0,0,0,0,0,0,0,0,0,0
100,d_19100701,0,0,0,0,0,0,0,0,0,0,0
100,d_19100801,0,0,0,0,0,0,0,0,0,0,0
3.8,d_19100901,96.2,23.2,0,0,0,0,0,0,0,0,0
2,d_19101001,97.9,27.8,0,0,0,0,0,0,0,0,0
86.6,d_19101101,13.4,0,0,0,0,0,0,0,0,0,0
0,d_19101201,100,97.7,16.3,0,0,0,0,0,0,0,0
9.8,d_19110101,0,0,0,0,0,0,90.2,55.8,0,0,0
12.7,d_19110201,0,0,0,0,0,0,87.3,38.5,0,0,0
0,d_19110301,0,0,0,0,0,0,100,95.6,7.8,0,0
0,d_19110401,0,0,0,0,0,0,100,89.6,3.4,0,0
0,d_19110501,0,0,0,0,0,0,100,87.2,3,0,0
0.1,d_19110601,0,0,0,0,0,0,99.9,85.6,0,0,0
0.1,d_19110701,0,0,0,0,0,0,99.9,86.5,0,0,0
0,d_19110801,0,0,0,0,0,0,100,93.8,4.2,0,0
0,d_19110901,0,0,0,0,0,0,100,100,51.7,0,0
0,d_19111001,0,0,0,0,0,0,100,2.4,0,0,0
12.7,d_19111101,0,0,0,0,0,0,87.3,1,0,0,0
0,d_19111201,100,100,10.4,0,0,0,0,0,0,0,0
0,d_19120101,100,100,99.8,55.8,0,0,0,0,0,0,0
0,d_19120201,100,100,100,100,99.8,0,0,0,0,0,0
51.8,d_19120301,48.2,0,0,0,0,0,0,0,0,0,0
85.4,d_19120401,14.6,0,0,0,0,0,0,0,0,0,0
97,d_19120501,3,0,0,0,0,0,0,0,0,0,0
96.7,d_19120601,3.3,0,0,0,0,0,0,0,0,0,0
100,d_19120701,0,0,0,0,0,0,0,0,0,0,0
100,d_19120801,0,0,0,0,0,0,0,0,0,0,0
100,d_19120901,0,0,0,0,0,0,0,0,0,0,0
3.6,d_19121001,0,0,0,0,0,0,96.5,20.4,0,0,0
0,d_19121101,0,0,0,0,0,0,100,100,84.1,18,0
0,d_19121201,100,29,0,0,0,0,0,0,0,0,0
0.4,d_19130101,99.6,5.3,0,0,0,0,0,0,0,0,0
86.8,d_19130201,0,0,0,0,0,0,13.2,0,0,0,0
100,d_19130301,0,0,0,0,0,0,0,0,0,0,0
100,d_19130401,0,0,0,0,0,0,0,0,0,0,0
99.7,d_19130501,0.3,0,0,0,0,0,0,0,0,0,0
100,d_19130601,0,0,0,0,0,0,0,0,0,0,0
100,d_19130701,0,0,0,0,0,0,0,0,0,0,0
100,d_19130801,0,0,0,0,0,0,0,0,0,0,0
26.8,d_19130901,0,0,0,0,0,0,73.2,0,0,0,0
11.6,d_19131001,0,0,0,0,0,0,88.4,0,0,0,0
66.8,d_19131101,33.2,0,0,0,0,0,0,0,0,0,0
100,d_19131201,0,0,0,0,0,0,0,0,0,0,0
0,d_19140101,0,0,0,0,0,0,100,100,99.6,71.4,4.4
0,d_19140201,0,0,0,0,0,0,100,100,100,99.2,52.5
0,d_19140301,0,0,0,0,0,0,99.9,99.9,98.9,42.6,0
0,d_19140401,0,0,0,0,0,0,99.9,99.9,98.1,4.4,0
0,d_19140501,0,0,0,0,0,0,100,100,98.6,14,0
0,d_19140601,0,0,0,0,0,0,100,100,98.5,14.3,0
0,d_19140701,0,0,0,0,0,0,100,100,99.6,59.4,0
0,d_19140801,0,0,0,0,0,0,100,100,86.1,0,0
0,d_19140901,0,0,0,0,0,0,100,100,95.1,0.4,0
39.1,d_19141001,0,0,0,0,0,0,60.9,0,0,0,0
0,d_19141101,100,99,37.4,0.8,0,0,0,0,0,0,0
98.7,d_19141201,0,0,0,0,0,0,1.2,0.6,0,0,0
4.8,d_19150101,0,0,0,0,0,0,95.2,43.3,0,0,0
0,d_19150201,0,0,0,0,0,0,100,100,9,0,0
0,d_19150301,0,0,0,0,0,0,100,42.9,0,0,0
0,d_19150401,0,0,0,0,0,0,100,48.5,0,0,0
0,d_19150501,0,0,0,0,0,0,100,72.2,0,0,0
0,d_19150601,0,0,0,0,0,0,100,74.4,0,0,0
0,d_19150701,0,0,0,0,0,0,99.9,83.9,0,0,0
0,d_19150801,0,0,0,0,0,0,100,100,19.9,0,0
0,d_19150901,0,0,0,0,0,0,100,87.3,0,0,0
0,d_19151001,0,0,0,0,0,0,100,18.6,0,0,0
74.1,d_19151101,25.9,0,0,0,0,0,0,0,0,0,0
96.6,d_19151201,0,0,0,0,0,0,3.4,0,0,0,0
0,d_19160101,0,0,0,0,0,0,99.9,99.9,80.3,57,0
14,d_19160201,0,0,0,0,0,0,86.1,72.1,0.4,0,0
23.2,d_19160301,0,0,0,0,0,0,76.7,51.4,0,0,0
30.9,d_19160401,0,0,0,0,0,0,69.1,15.6,0,0,0
36.4,d_19160501,0,0,0,0,0,0,63.6,5.5,0,0,0
35.6,d_19160601,0,0,0,0,0,0,64.4,6.2,0,0,0
27.2,d_19160701,0,0,0,0,0,0,72.8,41,0,0,0
19.4,d_19160801,0,0,0,0,0,0,80.6,54.1,0,0,0
5.2,d_19160901,0,0,0,0,0,0,94.8,62.3,0,0,0
100,d_19161001,0,0,0,0,0,0,0,0,0,0,0
69.5,d_19161101,30.5,0,0,0,0,0,0,0,0,0,0
0,d_19161201,0,0,0,0,0,0,100,45.5,0,0,0
0,d_19170101,0,0,0,0,0,0,100,22.8,0,0,0
41.5,d_19170201,0,0,0,0,0,0,58.5,1,0,0,0
99,d_19170301,0,0,0,0,0,0,1,1,0,0,0
99,d_19170401,0,0,0,0,0,0,1,1,0,0,0
99,d_19170501,0,0,0,0,0,0,1,1,0,0,0
99,d_19170601,0,0,0,0,0,0,1,0.2,0,0,0
99,d_19170701,0,0,0,0,0,0,1,0,0,0,0
99,d_19170801,0,0,0,0,0,0,1,0,0,0,0
46,d_19170901,54,0,0,0,0,0,0,0,0,0,0
8.6,d_19171001,91.3,63.9,11.8,0,0,0,0,0,0,0,0
0,d_19171101,100,100,99.6,95,0,0,0,0,0,0,0
0,d_19171201,100,100,99.4,94.2,0,0,0,0,0,0,0
0,d_19180101,100,100,99.6,95.6,61.1,0,0,0,0,0,0
100,d_19180201,0,0,0,0,0,0,0,0,0,0,0
2.9,d_19180301,0,0,0,0,0,0,97.1,62,0,0,0
12.7,d_19180401,0,0,0,0,0,0,87.4,24.3,0,0,0
13.8,d_19180501,0,0,0,0,0,0,86.3,18.9,0,0,0
11,d_19180601,0,0,0,0,0,0,89,21.6,0,0,0
2,d_19180701,0,0,0,0,0,0,98,53.5,0,0,0
0,d_19180801,0,0,0,0,0,0,100,78.6,0,0,0
0,d_19180901,0,0,0,0,0,0,100,100,35.4,0,0
